N=10, K=61, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=62, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=63, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=64, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=65, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=66, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=67, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=68, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=69, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=70, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=71, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=72, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=73, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=74, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=75, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=76, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=77, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=78, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=79, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=80, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=81, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=82, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=83, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=84, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=85, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=86, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
