N=100, K=10, t=[[0.5 0. ],[0.005 0.495]]
N=100, K=11, t=[[0.5 0. ],[0.  0.5]]
N=100, K=12, t=[[0.5 0. ],[0.005 0.495]]
N=100, K=13, t=[[0.5 0. ],[0.  0.5]]
N=100, K=14, t=[[0.5 0. ],[0.  0.5]]
N=100, K=15, t=[[0.5 0. ],[0.  0.5]]
N=100, K=16, t=[[0.5 0. ],[0.  0.5]]
N=100, K=17, t=[[0.5 0. ],[0.  0.5]]
N=100, K=18, t=[[0.5 0. ],[0.  0.5]]
N=100, K=19, t=[[0.5 0. ],[0.  0.5]]
N=100, K=20, t=[[0.5 0. ],[0.  0.5]]
N=100, K=21, t=[[0.5 0. ],[0.  0.5]]
N=100, K=22, t=[[0.5 0. ],[0.  0.5]]
N=100, K=23, t=[[0.5 0. ],[0.  0.5]]
N=100, K=24, t=[[0.5 0. ],[0.  0.5]]
N=100, K=25, t=[[0.5 0. ],[0.  0.5]]
N=100, K=26, t=[[0.5 0. ],[0.  0.5]]
N=100, K=27, t=[[0.5 0. ],[0.  0.5]]
N=100, K=28, t=[[0.5 0. ],[0.  0.5]]
N=100, K=29, t=[[0.5 0. ],[0.  0.5]]
N=100, K=30, t=[[0.5 0. ],[0.  0.5]]
N=100, K=31, t=[[0.5 0. ],[0.  0.5]]
N=100, K=32, t=[[0.5 0. ],[0.  0.5]]
N=100, K=33, t=[[0.5 0. ],[0.  0.5]]
N=100, K=34, t=[[0.5 0. ],[0.  0.5]]
N=100, K=35, t=[[0.5 0. ],[0.  0.5]]
N=100, K=36, t=[[0.5 0. ],[0.  0.5]]
N=100, K=37, t=[[0.5 0. ],[0.  0.5]]
N=100, K=38, t=[[0.5 0. ],[0.  0.5]]
N=100, K=39, t=[[0.5 0. ],[0.  0.5]]
N=100, K=40, t=[[0.5 0. ],[0.  0.5]]
N=100, K=41, t=[[0.5 0. ],[0.  0.5]]
N=100, K=42, t=[[0.5 0. ],[0.  0.5]]
N=100, K=43, t=[[0.5 0. ],[0.  0.5]]
N=100, K=44, t=[[0.5 0. ],[0.  0.5]]
N=100, K=45, t=[[0.5 0. ],[0.  0.5]]
N=100, K=46, t=[[0.5 0. ],[0.  0.5]]
N=100, K=47, t=[[0.5 0. ],[0.  0.5]]
N=100, K=48, t=[[0.5 0. ],[0.  0.5]]
N=100, K=49, t=[[0.5 0. ],[0.  0.5]]
N=100, K=50, t=[[0.5 0. ],[0.  0.5]]
N=100, K=51, t=[[0.5 0. ],[0.  0.5]]
N=100, K=52, t=[[0.5 0. ],[0.  0.5]]
N=100, K=53, t=[[0.5 0. ],[0.  0.5]]
N=100, K=54, t=[[0.5 0. ],[0.  0.5]]
N=100, K=55, t=[[0.5 0. ],[0.  0.5]]
N=100, K=56, t=[[0.5 0. ],[0.  0.5]]
N=100, K=57, t=[[0.5 0. ],[0.  0.5]]
N=100, K=58, t=[[0.5 0. ],[0.  0.5]]
N=100, K=59, t=[[0.5 0. ],[0.  0.5]]
N=100, K=60, t=[[0.5 0. ],[0.  0.5]]
N=100, K=61, t=[[0.5 0. ],[0.  0.5]]
N=100, K=62, t=[[0.5 0. ],[0.  0.5]]
N=100, K=63, t=[[0.5 0. ],[0.  0.5]]
N=100, K=64, t=[[0.5 0. ],[0.  0.5]]
N=100, K=65, t=[[0.5 0. ],[0.  0.5]]
N=100, K=66, t=[[0.5 0. ],[0.  0.5]]
N=100, K=67, t=[[0.5 0. ],[0.  0.5]]
N=100, K=68, t=[[0.5 0. ],[0.  0.5]]
N=100, K=69, t=[[0.5 0. ],[0.  0.5]]
N=100, K=70, t=[[0.5 0. ],[0.  0.5]]
N=100, K=71, t=[[0.5 0. ],[0.  0.5]]
N=100, K=72, t=[[0.5 0. ],[0.  0.5]]
N=100, K=73, t=[[0.5 0. ],[0.  0.5]]
N=100, K=74, t=[[0.5 0. ],[0.  0.5]]
N=100, K=75, t=[[0.5 0. ],[0.  0.5]]
N=100, K=76, t=[[0.5 0. ],[0.  0.5]]
